"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Kyle Lewis","SEA","115","485","429","104","19","1","18","58","57","49","133","3","4","1","",".242",".321",".420",".741",".320","107","","1.4","","392.6","19508"
"Jonathan Villar","CHC","111","446","398","100","16","2","14","57","44","39","116","3","19","5","",".251",".322",".405",".728",".316","95","","1.4","","256.5","10071"
"Tommy La Stella","SFG","103","407","360","93","19","2","9","46","43","37","46","3","1","0","",".258",".331",".395",".726",".316","100","","1.4","","557.6","12371"
"Jarred Kelenic","SEA","127","525","471","107","21","2","20","63","58","47","135","4","11","3","",".227",".301",".405",".706",".305","97","","1.4","","140.8","22558"
"Tucker Barnhart","DET","109","391","347","76","15","1","8","37","37","36","95","4","0","0","",".220",".298",".340",".638",".281","76","","1.4","","466.5","10200"
"Austin Nola","SDP","95","360","323","80","16","1","7","38","36","29","60","5","1","0","",".249",".317",".371",".689",".301","91","","1.4","","379.5","15941"
"Didi Gregorius","PHI","108","441","401","98","18","2","16","52","53","28","72","5","4","1","",".245",".300",".420",".720",".307","89","","1.4","","511.0","6012"
"Gavin Lux","LAD","103","401","358","91","18","3","10","52","44","37","90","2","5","1","",".254",".326",".402",".729",".316","99","","1.3","","264.4","19955"
"Miguel Sanó","MIN","138","560","490","111","22","1","33","77","82","63","195","5","1","1","",".226",".319",".475",".794",".338","115","","1.3","","281.5","12164"
"David Fletcher","LAA","145","615","569","154","28","2","4","66","52","38","61","3","11","3","",".271",".318",".347",".665",".292","83","","1.3","","417.5","17992"
"Kyle Farmer","CIN","118","425","392","99","21","1","14","48","51","21","84","8","3","1","",".254",".304",".416",".720",".309","87","","1.3","","524.4","14813"
"Austin Hedges","CLE","95","347","316","64","11","0","13","32","38","22","98","3","2","1","",".202",".260",".360",".620",".267","67","","1.3","","587.9","12976"
"Nelson Cruz","WSN","126","540","492","128","23","1","32","71","85","35","129","8","2","0","",".260",".317",".505",".823",".345","113","","1.3","","172.9","2434"
"Adam Duvall","ATL","132","525","476","110","20","2","33","72","80","37","153","7","2","1","",".231",".294",".493",".787",".331","104","","1.3","","211.2","10950"
"Ben Gamel","PIT","140","534","465","118","25","3","11","61","51","59","131","5","8","3","",".253",".341",".390",".731",".320","100","","1.3","","579.7","12160"
"Joey Wendle","MIA","122","475","433","109","23","4","9","54","45","29","102","9","11","3","",".251",".310",".385",".695",".300","90","","1.3","","399.8","13853"
"Adalberto Mondesi","KCR","118","485","452","104","20","5","16","67","46","25","146","2","39","6","",".230",".272",".402",".675",".287","79","","1.3","","57.4","13769"
"Andrés Giménez","CLE","117","421","385","93","19","3","10","50","40","22","103","10","15","4","",".243",".299",".386",".685",".297","87","","1.3","","282.5","19950"
"Josh Harrison","CHW","106","427","386","101","20","2","8","49","42","26","61","11","7","2","",".261",".322",".385",".707",".309","96","","1.3","","415.7","8202"
"Yadier Molina","STL","108","418","380","97","19","1","10","45","46","22","70","4","3","1","",".254",".300",".391",".691",".298","89","","1.2","","324.0","7007"
"Cal Raleigh","SEA","69","259","238","51","11","1","9","26","29","17","67","2","1","0","",".213",".272",".377",".649",".279","80","","1.2","","557.3","21534"
"Jesús Aguilar","MIA","127","509","450","114","20","1","22","60","67","49","100","5","0","0","",".254",".331",".450",".781",".334","112","","1.2","","300.2","11342"
"Jeremy Peña","HOU","91","365","332","80","15","2","9","43","37","26","93","5","6","2","",".241",".303",".380",".684",".297","90","","1.2","","487.1","sa876320"
"Curt Casali","SFG","78","263","231","51","10","0","8","28","29","26","72","3","1","0","",".220",".307",".371",".678",".296","86","","1.2","","591.8","12510"
"Kevin Plawecki","BOS","64","225","203","49","10","1","5","24","22","16","41","4","1","0","",".243",".309",".368",".677",".296","82","","1.2","","579.5","13807"
"Vidal Bruján","TBR","68","273","247","63","14","2","5","34","26","22","48","2","12","3","",".254",".319",".389",".708",".308","100","","1.2","","387.1","20536"
"Andrew Vaughn","CHW","131","534","474","119","25","1","18","63","63","48","109","7","2","1","",".251",".326",".419",".746",".323","105","","1.2","","250.2","26197"
"Garrett Cooper","MIA","106","425","377","99","17","1","15","52","50","40","106","5","1","0","",".264",".342",".433",".775",".335","113","","1.1","","526.4","15279"
"Nick Madrigal","CHC","119","469","433","124","20","4","3","51","40","26","40","6","9","3","",".287",".333",".372",".705",".307","90","","1.1","","338.6","20521"
"Gio Urshela","MIN","112","445","412","105","21","1","12","49","49","26","93","4","1","0","",".255",".303",".397",".699",".302","90","","1.1","","305.8","10681"
"Austin Slater","SFG","90","302","266","69","13","1","9","41","31","30","78","5","10","3","",".260",".343",".424",".767",".333","111","","1.1","","573.3","16153"
"Jed Lowrie","","103","412","364","91","22","1","13","47","50","41","85","2","0","0","",".251",".327",".420",".748",".323","103","","1.1","","597.0","4418"
"José Iglesias","COL","120","471","441","127","28","2","8","56","52","19","65","5","5","2","",".289",".324",".415",".739",".318","85","","1.1","","547.5","10231"
"Michael A. Taylor","KCR","130","473","433","101","21","2","12","52","49","33","131","3","12","3","",".234",".291",".379",".670",".290","80","","1.1","","512.5","11489"
"Taylor Walls","TBR","89","348","307","69","16","2","7","39","32","36","90","2","8","3","",".225",".309",".357",".666",".292","89","","1.1","","585.8","22458"
"Francisco Mejía","TBR","78","278","254","60","13","1","7","28","31","17","58","5","1","0","",".238",".296",".386",".682",".295","91","","1.1","","488.4","16403"
"Yuli Gurriel","HOU","133","553","505","135","29","2","13","64","61","37","68","5","3","1","",".268",".321",".410",".731",".316","102","","1.1","","211.8","19198"
"Jason Castro","HOU","51","176","150","32","7","1","7","21","20","21","56","2","0","0","",".217",".321",".400",".720",".314","101","","1.0","","599.3","8722"
"Martín Maldonado","HOU","111","409","356","72","12","1","12","43","42","39","117","7","1","0","",".202",".293",".343",".636",".282","79","","1.0","","561.5","6887"
"Nicky Lopez","KCR","137","539","486","125","21","4","2","56","38","43","76","3","12","4","",".257",".319",".331",".650",".289","79","","1.0","","249.7","19339"
"Carter Kieboom","WSN","122","491","433","105","20","1","13","55","51","47","115","7","2","1","",".242",".324",".381",".705",".309","90","","1.0","","535.1","19958"
"Julio Rodríguez","SEA","64","269","243","65","13","1","7","32","29","21","60","3","4","1","",".266",".330",".419",".749",".322","109","","1.0","","262.9","sa3005720"
"Joey Bart","SFG","97","368","340","77","15","2","9","38","37","20","111","6","1","0","",".228",".281",".363",".644",".280","76","","1.0","","279.0","21524"
"Adolis García","TEX","134","562","521","118","24","2","25","68","69","30","177","6","11","3","",".226",".274",".425",".699",".297","88","","1.0","","165.4","19287"
"Ji-Man Choi","TBR","109","430","365","84","18","1","15","51","50","57","114","5","1","0","",".229",".337",".406",".744",".325","111","","1.0","","576.8","5452"
"Jake Meyers","HOU","92","360","327","77","17","1","10","42","38","26","94","5","6","2","",".236",".299",".387",".686",".297","90","","1.0","","593.2","20308"
"Jake Fraley","CIN","97","379","331","80","17","2","13","51","42","39","95","5","11","3","",".242",".330",".428",".758",".327","99","","1.0","","554.8","19260"
"LaMonte Wade Jr.","SFG","118","456","395","93","19","2","14","56","48","50","93","6","6","2","",".235",".329",".404",".733",".319","102","","1.0","","343.3","18126"
"Tyler Naquin","CIN","121","482","438","114","22","2","19","62","61","36","117","4","5","2","",".261",".320",".454",".774",".330","101","","1.0","","355.0","13359"
"Kole Calhoun","TEX","109","448","390","90","17","1","18","53","53","48","101","6","1","0","",".231",".322",".421",".743",".321","104","","1.0","","521.4","11200"
"Luis García","WSN","108","420","392","104","19","2","11","48","47","22","76","2","4","1","",".264",".305",".408",".713",".306","88","","1.0","","554.7","20391"
"Aledmys Díaz","HOU","81","316","288","72","15","1","10","36","37","20","58","4","1","0","",".250",".307",".410",".716",".308","97","","1.0","","570.5","15937"
"Andy Ibáñez","TEX","92","365","332","82","17","1","9","39","38","26","60","3","2","1","",".247",".304",".391",".695",".300","90","","1.0","","564.2","18819"
"Cavan Biggio","TOR","115","466","400","88","19","2","14","56","47","59","125","4","5","2","",".220",".324",".380",".704",".309","91","","0.9","","320.0","19252"
"Lourdes Gurriel Jr.","TOR","135","544","503","130","25","1","20","66","67","32","110","5","4","2","",".258",".306",".436",".742",".317","97","","0.9","","144.8","19238"
"Riley Greene","DET","97","409","368","87","16","3","10","45","40","34","118","4","4","2","",".237",".307",".381",".688",".299","88","","0.9","","284.2","sa3010694"
"Victor Robles","WSN","116","437","386","92","20","2","9","53","39","33","104","14","13","4","",".238",".318",".374",".692",".303","86","","0.9","","472.0","18363"
"J.D. Davis","NYM","87","319","281","70","14","0","11","39","38","32","87","4","1","0","",".248",".332",".413",".745",".323","107","","0.9","","510.4","16219"
"Roberto Pérez","PIT","103","392","346","71","12","1","12","39","41","38","122","3","1","0","",".205",".288",".350",".638",".281","74","","0.9","","545.0","2900"
"Steven Duggar","SFG","86","308","277","65","15","2","6","35","28","27","90","2","6","2","",".235",".305",".370",".674",".293","85","","0.9","","597.7","17719"
"Victor Caratini","SDP","70","239","212","50","9","0","5","24","24","21","53","3","1","0","",".238",".315",".359",".673",".293","85","","0.9","","581.4","14968"
"David Peralta","ARI","127","515","465","125","25","4","10","60","55","42","92","4","2","1","",".269",".332",".406",".738",".319","97","","0.9","","514.7","2136"
"Alec Bohm","PHI","124","497","451","116","22","2","13","59","53","39","118","4","4","1","",".257",".319",".396",".715",".310","91","","0.9","","308.8","21618"
"Rougned Odor","BAL","90","354","318","68","14","1","17","41","45","27","97","6","4","1","",".215",".286",".424",".711",".303","89","","0.9","","500.6","12282"
"Luke Voit","SDP","86","348","307","76","13","1","17","44","48","33","96","6","0","0","",".246",".330",".454",".784",".337","114","","0.9","","256.9","14811"
"Nick Ahmed","ARI","131","516","469","112","24","3","10","54","51","37","110","3","7","2","",".238",".296",".364",".659",".286","75","","0.9","","581.2","12147"
"Edmundo Sosa","STL","109","388","358","89","16","2","7","42","37","19","84","8","5","2","",".248",".299",".368",".667",".290","83","","0.9","","494.9","17022"
"Jose Barrero","CIN","94","365","335","82","18","1","10","42","40","21","94","6","6","2","",".244",".298",".395",".693",".299","80","","0.9","","468.9","23378"
"Garrett Hampson","COL","106","406","369","95","19","4","11","55","41","30","96","2","17","3","",".258",".315",".417",".732",".315","83","","0.9","","293.1","19262"
"Adam Engel","CHW","84","318","288","69","15","2","10","40","35","21","79","7","6","2","",".239",".305",".412",".716",".310","96","","0.9","","597.2","15082"
"Jordan Luplow","ARI","85","331","288","69","15","2","14","43","43","37","81","4","4","1","",".240",".331",".447",".778",".335","107","","0.8","","600.6","16424"
"Brandon Marsh","LAA","118","462","413","99","21","2","10","54","44","43","141","3","7","2","",".239",".314",".376",".690",".301","89","","0.8","","415.6","20202"
"Charlie Blackmon","COL","127","551","492","138","28","5","16","72","67","46","92","8","2","1","",".281",".350",".457",".807",".346","103","","0.8","","237.1","7859"
"Alek Thomas","ARI","65","258","236","63","13","2","5","32","27","19","56","2","5","1","",".268",".327",".410",".737",".319","96","","0.8","","564.9","sa3006892"
"Cristian Pache","OAK","105","393","363","83","17","2","9","38","34","24","111","2","5","2","",".227",".279",".358",".636",".276","76","","0.8","","572.9","19948"
"Joc Pederson","SFG","113","443","389","90","20","2","18","55","53","42","101","9","3","1","",".232",".319",".430",".749",".323","104","","0.8","","477.7","11899"
"Robinson Chirinos","BAL","50","177","152","33","6","1","7","20","20","17","55","5","1","0","",".215",".313",".396",".709",".310","94","","0.8","","595.8","3142"
"Asdrúbal Cabrera","CIN","67","262","231","57","13","1","9","30","31","25","57","2","1","0","",".246",".322",".417",".739",".319","100","","0.8","","599.5","4962"
"Thairo Estrada","SFG","73","256","235","61","11","1","6","30","27","15","50","3","4","1","",".259",".311",".397",".708",".306","93","","0.8","","600.3","16426"
"Bryson Stott","PHI","81","336","300","71","15","2","8","39","33","31","87","2","4","1","",".236",".310",".377",".686",".299","84","","0.8","","503.1","sa3011443"
"Jonah Heim","TEX","56","211","193","43","9","0","6","21","22","14","42","1","1","0","",".222",".279",".367",".646",".280","76","","0.8","","526.4","16930"
"Chas McCormick","HOU","89","329","294","69","13","1","10","39","36","29","83","3","5","2","",".234",".307",".394",".701",".304","94","","0.8","","492.6","19599"
"Ben Rortvedt","NYY","82","289","261","56","11","1","8","29","29","22","76","4","0","0","",".214",".283",".352",".635",".277","74","","0.8","","999.0","20287"
"Bryan De La Cruz","MIA","112","441","405","101","20","2","9","47","43","30","106","2","5","2","",".250",".304",".379",".682",".296","87","","0.8","","531.8","19600"
"Kevin Pillar","","84","311","290","73","16","1","12","40","41","14","62","5","5","1","",".252",".294",".438",".732",".312","96","","0.8","","592.0","12434"
"Lane Thomas","WSN","114","433","385","90","20","2","14","54","46","41","120","4","8","3","",".232",".311",".404",".715",".310","91","","0.8","","266.4","16939"
"Anthony Santander","BAL","128","540","496","122","28","1","23","61","69","34","114","5","2","1","",".246",".299",".447",".746",".316","98","","0.8","","298.5","14551"
"Wilson Ramos","","42","155","141","37","6","0","5","18","19","11","29","1","0","0","",".263",".317",".420",".737",".317","99","","0.8","","600.9","1433"
"Nico Hoerner","CHC","99","378","343","89","17","2","3","40","31","27","64","5","8","3","",".260",".321",".353",".674",".295","82","","0.8","","501.9","21479"
"Justin Upton","LAA","89","352","308","70","12","1","17","45","46","38","103","4","3","1","",".228",".317",".440",".757",".326","106","","0.7","","565.0","5222"
"Rafael Ortega","CHC","122","475","426","103","20","3","11","53","44","43","97","2","10","3","",".241",".311",".378",".689",".301","85","","0.7","","333.1","10323"
"Hunter Dozier","KCR","119","480","430","101","22","4","16","56","55","42","131","4","5","2","",".235",".308",".415",".723",".312","95","","0.7","","439.7","15117"
"Eddie Rosario","ATL","116","497","459","119","23","1","20","63","62","32","78","1","8","2","",".260",".307",".447",".754",".320","97","","0.7","","182.0","12155"
"Patrick Wisdom","CHC","130","514","460","97","19","1","28","61","73","45","190","5","5","1","",".210",".286",".439",".725",".309","91","","0.7","","352.0","13602"
"Matt Vierling","PHI","90","324","297","73","15","2","8","38","33","21","76","4","6","2","",".247",".303",".388",".691",".299","84","","0.7","","578.8","21558"
"Austin Allen","OAK","60","201","185","42","9","0","6","18","22","12","52","2","0","0","",".226",".279",".376",".656",".283","81","","0.7","","599.3","18083"
"Jarren Duran","BOS","92","376","343","87","19","3","9","49","37","26","101","4","10","3","",".255",".315",".407",".721",".312","92","","0.7","","492.8","24617"
"Bobby Dalbec","BOS","125","488","437","101","21","2","25","64","69","40","167","8","2","1","",".231",".305",".463",".767",".326","102","","0.7","","231.5","19966"
"Leury García","CHW","106","425","385","99","16","3","5","47","35","29","89","5","6","2","",".256",".315",".351",".666",".293","85","","0.7","","533.9","5913"
"Randal Grichuk","TOR","128","513","473","113","25","2","23","62","66","31","113","5","2","1","",".238",".289",".442",".732",".311","93","","0.7","","428.8","10243"
"Nick Solak","TEX","98","402","362","91","16","1","9","46","38","30","84","6","6","2","",".252",".318",".381",".699",".306","94","","0.7","","490.1","19294"
"Darin Ruf","SFG","97","332","289","71","14","1","13","42","41","37","88","4","1","0","",".245",".337",".439",".776",".334","111","","0.7","","449.6","9929"
"Jo Adell","LAA","127","507","466","111","23","2","19","61","60","32","154","5","7","2","",".238",".293",".420",".713",".306","92","","0.7","","230.1","20220"
"Elvis Andrus","OAK","99","393","358","87","17","2","4","38","31","24","64","3","9","3","",".244",".294",".337",".631",".276","77","","0.7","","564.6","8709"
"Luis Campusano","SDP","40","152","139","35","7","0","4","16","17","11","30","2","0","0","",".250",".311",".393",".704",".305","93","","0.7","","999.0","22217"
"Kevin Newman","PIT","110","435","404","106","20","2","4","42","39","23","44","3","6","2","",".262",".305",".351",".656",".285","77","","0.7","","597.0","17696"
"Bradley Zimmer","CLE","93","352","310","67","14","2","9","42","32","32","122","8","11","3","",".217",".305",".364",".669",".295","85","","0.6","","498.7","16221"
"Kevin Smith","OAK","100","336","305","66","15","1","11","34","34","25","101","3","6","1","",".215",".278",".378",".656",".283","81","","0.6","","558.4","20242"
"Robinson Canó","NYM","81","331","303","78","17","0","11","37","42","23","56","2","0","0","",".259",".313",".423",".736",".315","102","","0.6","","515.0","3269"
"Mike Brosseau","MIL","71","265","237","57","12","1","10","32","32","21","68","5","2","1","",".240",".312",".420",".732",".315","95","","0.6","","596.4","19683"
"Dominic Smith","NYM","110","415","374","95","21","1","13","48","51","32","92","6","2","1","",".255",".321",".419",".739",".319","104","","0.6","","460.1","15653"
"Niko Goodrum","HOU","74","296","266","58","12","2","9","36","29","26","95","2","9","2","",".217",".290",".373",".662",".288","83","","0.6","","568.8","12092"
"Spencer Torkelson","DET","103","421","373","89","19","2","14","48","49","40","95","5","2","1","",".238",".318",".416",".734",".317","100","","0.6","","251.8","sa3014504"
"Kyle Isbel","KCR","85","324","295","71","15","2","7","35","31","23","77","3","7","2","",".241",".302",".377",".678",".294","83","","0.6","","539.8","21614"
"Jurickson Profar","SDP","123","457","402","94","20","2","9","52","41","44","70","7","9","2","",".233",".319",".361",".680",".300","90","","0.6","","537.8","10815"
"Brett Gardner","","86","322","282","65","12","4","7","38","28","35","67","3","4","1","",".229",".318",".368",".686",".302","89","","0.6","","598.6","9927"
"Matt Duffy","LAA","51","197","177","46","7","0","3","22","18","17","36","2","3","1","",".262",".331",".358",".689",".304","91","","0.6","","586.1","13836"
"Zack Collins","CHW","40","147","125","25","5","0","5","16","16","20","47","1","0","0","",".197",".309",".359",".668",".295","87","","0.6","","597.5","19181"
"Tyrone Taylor","MIL","92","328","298","70","14","1","12","38","39","22","72","5","4","1","",".235",".296",".414",".709",".305","88","","0.6","","522.4","13675"
"Josh VanMeter","ARI","84","307","270","63","15","1","10","37","35","32","76","2","5","1","",".232",".315",".404",".720",".312","92","","0.6","","597.5","15170"
"Donovan Solano","CIN","73","279","256","70","14","0","6","31","31","16","52","4","0","0","",".273",".324",".404",".727",".315","91","","0.5","","594.1","8623"
"Nolan Gorman","STL","62","255","234","55","11","1","8","28","29","17","69","2","1","0","",".235",".292",".400",".692",".297","88","","0.5","","508.1","sa3007017"
"Chad Pinder","OAK","103","384","347","80","17","1","12","38","41","28","100","5","1","0","",".230",".295",".385",".681",".295","90","","0.5","","570.1","15191"
"Starlin Castro","","48","193","177","48","9","1","5","21","22","13","35","1","0","0","",".268",".318",".401",".719",".311","95","","0.5","","597.1","4579"
"Daniel Vogelbach","PIT","86","316","264","62","11","0","12","37","38","47","69","3","0","0","",".234",".352",".413",".765",".335","109","","0.5","","586.4","14130"
"Christian Walker","ARI","124","507","453","112","26","2","17","59","62","43","120","6","3","1","",".248",".319",".423",".742",".319","97","","0.5","","503.9","13419"
"Hoy Park","PIT","45","174","150","36","7","1","3","20","15","20","39","2","4","1","",".237",".332",".361",".693",".306","91","","0.5","","600.7","18027"
"Brett Phillips","TBR","66","205","179","35","7","2","7","25","21","23","76","2","7","2","",".193",".287",".371",".658",".287","85","","0.5","","590.5","14735"
"Steven Kwan","CLE","64","264","240","64","14","2","4","29","26","20","33","2","3","1","",".266",".326",".393",".719",".312","97","","0.5","","539.0","sa3008536"
"Luis Torrens","SEA","75","285","258","60","12","1","10","31","33","22","70","2","0","0","",".233",".298",".397",".695",".300","93","","0.5","","443.8","15905"
"Danny Santana","","42","163","149","35","7","1","6","21","19","12","42","1","5","1","",".239",".300",".422",".722",".309","94","","0.5","","999.0","10322"
"Santiago Espinal","TOR","92","327","299","75","15","1","4","35","29","22","54","2","4","2","",".250",".305",".353",".659",".288","77","","0.5","","554.0","19997"
"Dylan Moore","SEA","60","219","194","40","8","1","7","27","20","20","62","4","11","3","",".204",".287",".362",".649",".284","83","","0.5","","507.3","18042"
"Kurt Suzuki","LAA","46","173","154","36","7","0","5","18","19","11","31","4","1","0","",".235",".300",".384",".685",".298","87","","0.5","","599.8","8259"
"Isaac Paredes","DET","28","106","93","24","5","0","3","12","11","10","16","1","0","0","",".253",".333",".401",".734",".320","102","","0.4","","600.3","20036"
"Eric Hosmer","SDP","132","538","488","127","21","1","14","62","58","44","102","3","6","2","",".260",".323",".393",".716",".311","97","","0.4","","466.3","3516"
"Pedro Severino","MIL","80","299","270","63","11","1","9","32","33","23","72","3","1","0","",".233",".299",".381",".680",".295","82","","0.4","","519.6","14523"
"Nick Gordon","MIN","74","275","253","60","13","2","5","32","24","17","66","3","7","2","",".237",".291",".360",".651",".283","77","","0.4","","583.6","16337"
"Stephen Vogt","","37","128","114","24","5","1","4","12","13","12","32","1","0","0","",".208",".284",".365",".649",".282","80","","0.4","","999.0","5000"
"Carlos Santana","KCR","126","533","455","103","19","2","16","58","57","70","85","3","2","1","",".226",".331",".382",".713",".313","96","","0.4","","507.5","2396"
"Leody Taveras","TEX","57","227","205","46","9","2","6","27","20","19","62","1","7","2","",".225",".291",".366",".658",".285","80","","0.4","","570.6","18900"
"Oscar Mercado","CLE","81","312","281","66","14","1","7","35","29","24","61","3","9","3","",".236",".302",".371",".673",".294","84","","0.4","","592.8","16375"
"David Bote","CHC","56","212","188","44","9","1","7","23","23","19","51","3","1","0","",".235",".314",".397",".711",".309","91","","0.4","","597.3","14593"
"Riley Adams","WSN","71","252","222","47","10","1","8","27","26","23","89","6","0","0","",".210",".299",".361",".660",".291","79","","0.4","","590.8","19864"
"Christian Arroyo","BOS","84","318","291","72","16","1","10","38","36","19","76","6","2","1","",".249",".307",".409",".716",".309","91","","0.4","","595.5","16434"
"Jon Berti","MIA","50","188","166","39","7","1","3","22","13","18","44","3","7","2","",".236",".319",".337",".656",".293","85","","0.4","","574.2","12037"
"Eric Haase","DET","88","334","303","64","13","2","15","38","43","26","113","3","1","0","",".212",".278",".420",".698",".299","88","","0.4","","301.1","14111"
"Victor Reyes","DET","72","270","252","64","11","3","4","30","24","15","60","1","6","2","",".255",".298",".373",".671",".290","82","","0.4","","591.8","15487"
"Jose Miranda","MIN","84","343","316","82","18","1","9","38","39","20","50","4","1","0","",".260",".310",".409",".719",".308","94","","0.4","","429.1","sa917952"
"Pavin Smith","ARI","122","503","453","117","25","3","11","57","55","43","86","3","1","0","",".259",".325",".402",".727",".315","94","","0.4","","471.0","19892"
"Jose Siri","HOU","64","229","212","46","9","1","7","27","23","13","82","2","7","2","",".216",".266",".368",".634",".274","74","","0.4","","571.1","17452"
"Cam Gallagher","KCR","31","109","99","23","5","0","2","10","10","8","20","1","0","0","",".233",".294",".340",".634",".278","72","","0.4","","600.6","12981"
"Dom Nuñez","COL","67","247","216","44","9","1","10","28","30","26","74","3","1","0","",".204",".296",".389",".685",".296","70","","0.4","","586.6","15055"
"Edward Olivares","KCR","39","145","133","34","7","1","4","17","16","9","28","2","3","1","",".255",".308",".414",".722",".310","94","","0.4","","584.1","19698"
"Nick Fortes","MIA","29","104","94","22","4","0","2","11","10","7","19","1","1","0","",".237",".299",".369",".668",".290","84","","0.4","","593.2","21538"
"Johan Camargo","PHI","59","188","171","41","9","1","5","21","21","14","41","1","0","0","",".243",".304",".395",".699",".301","86","","0.4","","600.9","14950"
"Josh Lowe","TBR","57","220","197","44","10","1","6","24","23","20","68","1","5","1","",".223",".296",".379",".675",".293","90","","0.4","","432.2","19953"
"Tim Locastro","NYY","38","131","116","28","6","1","2","16","11","8","26","6","5","1","",".240",".320",".365",".685",".303","92","","0.4","","598.5","15124"
"Yonny Hernandez","TEX","29","117","101","24","4","0","1","14","6","13","21","2","6","2","",".240",".338",".302",".640",".292","84","","0.4","","599.8","19432"
"Andrelton Simmons","CHC","111","426","389","95","16","1","5","39","35","27","60","3","3","1","",".244",".296",".326",".622",".274","68","","0.4","","588.6","10847"
"Nolan Jones","CLE","40","161","141","33","7","1","5","19","17","19","51","1","1","0","",".234",".327",".394",".721",".315","99","","0.4","","595.9","sa917941"
"Jacob Nottingham","BAL","26","92","83","17","3","0","3","9","10","7","31","2","1","0","",".206",".280",".373",".652",".284","76","","0.4","","600.5","16448"
"Rowdy Tellez","MIL","110","416","373","93","20","1","17","49","56","34","86","6","1","0","",".250",".319",".446",".765",".326","102","","0.4","","341.9","15679"
"Trevor Larnach","MIN","97","395","348","82","17","1","11","46","41","38","120","6","1","0","",".236",".319",".387",".705",".308","94","","0.3","","562.9","21501"
"Luis Rengifo","LAA","37","144","130","31","6","1","3","17","14","11","29","2","3","1","",".237",".303",".370",".674",".294","84","","0.3","","600.1","19858"
"Jorge Mateo","BAL","103","352","328","74","16","4","7","40","29","18","103","3","13","3","",".224",".271",".358",".629",".272","68","","0.3","","474.7","17273"
"Adam Eaton","","52","209","184","46","9","2","4","25","19","19","43","4","3","1","",".249",".330",".377",".707",".311","95","","0.3","","999.0","11205"
"Dexter Fowler","","73","271","234","52","11","2","7","32","27","32","70","3","3","1","",".223",".322",".377",".700",".308","93","","0.3","","999.0","4062"
"Raimel Tapia","COL","122","504","463","130","26","5","6","65","46","35","77","2","18","5","",".280",".332",".393",".724",".315","82","","0.3","","269.9","14350"
"Andrew Knapp","CIN","52","173","153","32","6","1","4","18","16","16","57","2","1","0","",".210",".293",".339",".631",".279","67","","0.3","","600.9","14942"
"Luke Maile","CLE","22","75","68","14","3","0","1","7","6","6","22","1","0","0","",".205",".279",".312",".591",".263","63","","0.3","","999.0","13355"
"Connor Joe","COL","108","424","371","95","22","2","13","54","50","44","91","5","1","1","",".256",".341",".431",".772",".335","96","","0.3","","341.5","16572"
"Tomás Nido","NYM","52","175","163","36","7","0","4","17","19","9","44","1","0","0","",".224",".268",".349",".617",".267","71","","0.3","","601.0","13755"
"Jorge Alfaro","SDP","96","362","334","81","14","1","10","40","38","18","114","8","6","2","",".243",".295",".380",".675",".293","85","","0.3","","453.4","12180"
"Derek Hill","DET","47","169","155","35","7","2","3","19","14","11","52","2","5","1","",".229",".288",".360",".648",".282","77","","0.3","","999.0","16947"
"Greg Allen","PIT","56","200","177","42","9","1","3","22","15","14","43","7","8","2","",".235",".316",".339",".654",".290","81","","0.3","","600.9","16623"
"Geraldo Perdomo","ARI","26","103","91","22","4","1","2","12","9","10","21","1","2","1","",".243",".324",".358",".682",".300","84","","0.3","","598.9","22799"
"Matt Beaty","LAD","70","226","203","51","10","1","6","28","26","16","43","5","2","1","",".250",".320",".397",".717",".312","96","","0.3","","591.2","17710"
"Taylor Ward","LAA","37","139","123","29","6","0","4","16","15","14","35","2","1","0","",".240",".323",".401",".724",".315","98","","0.3","","600.9","17548"
"Josh Naylor","CLE","92","354","322","82","17","1","10","38","40","26","61","3","1","0","",".255",".316",".408",".724",".312","97","","0.3","","587.6","18839"
"Tyler Freeman","CLE","17","55","51","15","4","0","1","6","6","3","7","1","1","0","",".291",".337",".414",".751",".325","105","","0.3","","999.0","sa3004755"
"Daz Cameron","DET","47","180","162","37","8","2","4","21","17","14","50","2","4","1","",".229",".298",".379",".677",".295","85","","0.3","","599.2","18353"
"Colin Moran","CIN","101","394","353","91","15","1","15","47","49","35","93","3","0","0","",".257",".327",".429",".756",".326","98","","0.3","","582.8","16909"
"Jason Heyward","CHC","89","349","309","73","13","2","8","38","33","33","66","3","3","1","",".236",".315",".371",".686",".300","85","","0.3","","594.9","4940"
"Owen Miller","CLE","43","168","155","39","8","1","3","17","17","11","38","2","1","0","",".252",".305",".375",".680",".296","86","","0.3","","600.7","24655"
"Gavin Sheets","CHW","108","412","371","88","16","1","15","47","49","35","94","3","1","0","",".237",".307",".411",".718",".310","97","","0.3","","519.6","19901"
"Gabriel Arias","CLE","26","85","79","20","4","0","2","9","9","5","22","1","1","0","",".255",".304",".395",".698",".301","90","","0.3","","600.1","sa3004047"
"Zach McKinstry","LAD","36","133","120","28","6","1","4","16","15","10","33","2","1","0","",".232",".300",".387",".687",".298","87","","0.3","","595.5","19392"
"Jace Peterson","MIL","56","205","179","41","8","1","4","24","19","23","48","2","4","1","",".231",".321",".360",".680",".301","85","","0.3","","578.2","12325"
