"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Ketel Marte","ARI","143","614","553","159","33","4","22","81","81","51","93","5","6","2","",".288",".351",".480",".831",".354","119","","3.6","","77.4","13613"
"George Springer","TOR","135","598","519","135","23","2","32","87","82","66","127","8","4","2","",".261",".351",".498",".849",".362","127","","3.6","","57.9","12856"
"Austin Riley","ATL","146","612","551","151","31","2","32","87","89","47","156","8","1","0","",".274",".338",".511",".850",".359","122","","3.5","","52.3","18360"
"Paul Goldschmidt","STL","150","658","573","156","28","2","28","91","84","74","138","5","7","2","",".272",".358",".474",".832",".357","127","","3.5","","47.9","9218"
"Josh Donaldson","NYY","127","534","452","111","20","1","27","73","71","73","121","5","1","0","",".245",".355",".472",".827",".355","127","","3.5","","188.2","5038"
"Tim Anderson","CHW","141","622","584","168","30","2","21","83","75","29","131","4","19","6","",".288",".324",".453",".777",".333","112","","3.5","","31.0","15172"
"Yoán Moncada","CHW","143","616","534","139","28","4","21","82","70","73","160","6","5","2","",".260",".353",".443",".796",".344","120","","3.5","","159.6","17232"
"Jonathan India","CIN","147","636","549","144","31","3","23","87","76","66","149","17","9","3","",".261",".355",".453",".808",".349","113","","3.4","","90.8","21523"
"Javier Báez","DET","144","589","546","143","26","4","30","80","83","32","173","6","14","4","",".261",".307",".488",".795",".335","112","","3.4","","62.1","12979"
"Jake Cronenworth","SDP","143","607","541","147","31","5","17","76","69","53","91","7","7","2","",".272",".342",".440",".782",".336","113","","3.4","","126.9","18036"
"Kris Bryant","COL","134","604","523","150","33","3","28","91","87","63","128","13","7","2","",".287",".375",".525",".900",".382","126","","3.3","","86.8","15429"
"Jesse Winker","SEA","137","571","492","132","25","1","24","75","72","66","102","9","1","1","",".268",".363",".468",".831",".358","133","","3.3","","111.5","13590"
"Max Stassi","LAA","101","381","337","75","13","1","15","44","46","35","114","7","0","0","",".224",".307",".402",".709",".308","94","","3.2","","301.0","10059"
"Max Muncy","LAD","123","514","430","109","19","1","30","80","80","73","113","8","2","1","",".255",".370",".515",".885",".375","138","","3.2","","137.0","13301"
"Salvador Perez","KCR","139","583","537","144","25","1","40","74","105","29","140","10","1","0","",".267",".314",".538",".852",".356","125","","3.2","","32.5","7304"
"Matt Chapman","TOR","145","602","523","119","24","3","32","83","82","67","178","7","2","1","",".227",".321",".469",".790",".337","110","","3.2","","183.2","16505"
"Omar Narváez","MIL","112","426","375","98","16","1","12","49","49","42","81","5","0","0","",".262",".342",".409",".751",".327","102","","3.2","","252.1","13338"
"Nick Castellanos","PHI","140","631","573","163","34","3","33","90","96","46","140","6","3","1","",".284",".342",".525",".868",".365","127","","3.2","","61.4","11737"
"Brandon Crawford","SFG","129","529","464","122","25","2","20","68","67","49","109","5","6","2","",".264",".338",".457",".795",".338","114","","3.1","","218.8","5343"
"Christian Yelich","MIL","136","580","491","134","26","2","21","83","70","79","132","6","15","4","",".273",".378",".466",".843",".362","125","","3.0","","97.3","11477"
"Cody Bellinger","LAD","140","564","492","122","25","3","27","81","80","64","126","3","9","3","",".247",".335",".473",".807",".341","116","","3.0","","98.8","15998"
"Willy Adames","MIL","144","593","529","135","26","2","26","78","78","56","162","3","6","2","",".255",".328",".458",".785",".336","108","","3.0","","123.4","15986"
"Tyler O'Neill","STL","140","549","494","125","24","2","32","79","80","44","169","7","12","2","",".253",".320",".502",".822",".347","121","","2.9","","46.9","15711"
"Mike Zunino","TBR","102","369","328","68","12","1","24","46","61","32","133","6","0","0","",".207",".289",".470",".760",".322","109","","2.9","","254.8","13265"
"Chris Taylor","LAD","139","552","486","126","27","4","21","80","70","54","152","7","8","2","",".259",".340",".456",".796",".342","116","","2.9","","139.1","13757"
"Dansby Swanson","ATL","151","629","566","143","29","2","25","83","77","52","156","5","9","3","",".253",".319",".444",".763",".325","100","","2.8","","119.5","18314"
"Tyler Stephenson","CIN","131","487","432","115","24","1","14","58","56","43","103","7","0","0","",".266",".340",".422",".762",".330","101","","2.8","","139.6","17988"
"Randy Arozarena","TBR","142","598","527","135","27","3","22","81","71","53","157","15","18","7","",".257",".340",".447",".787",".339","120","","2.8","","65.5","19290"
"Mitch Garver","TEX","107","411","360","84","16","1","22","53","56","44","120","5","1","1","",".234",".322",".466",".788",".337","115","","2.8","","167.5","15161"
"Jeimer Candelario","DET","144","607","533","134","32","3","18","71","67","62","133","7","1","0","",".251",".334",".422",".756",".328","107","","2.8","","241.1","13621"
"Kyle Schwarber","PHI","130","571","485","118","20","2","36","84","89","75","158","7","2","1","",".243",".350",".512",".862",".365","127","","2.7","","115.8","16478"
"Eugenio Suárez","SEA","126","516","448","100","16","1","28","65","73","56","150","7","2","1","",".224",".317",".452",".769",".329","113","","2.7","","196.8","12552"
"Mitch Haniger","SEA","140","623","549","137","25","2","32","81","85","59","151","11","3","1","",".250",".331",".473",".805",".344","123","","2.7","","109.5","14274"
"Starling Marte","NYM","135","594","537","148","26","3","15","83","61","39","112","13","33","6","",".275",".338",".419",".756",".328","111","","2.7","","30.2","9241"
"Cedric Mullins","BAL","148","637","569","145","31","5","23","85","68","52","120","6","24","5","",".255",".322",".447",".770",".329","107","","2.7","","32.3","17929"
"Anthony Rizzo","NYY","129","571","485","123","22","2","24","76","70","60","87","20","6","2","",".254",".358",".456",".814",".351","124","","2.7","","194.1","3473"
"Rhys Hoskins","PHI","136","589","500","122","25","2","33","85","86","75","139","9","4","1","",".243",".349",".497",".846",".360","124","","2.7","","127.3","16472"
"Michael Conforto","","134","580","496","130","28","1","23","76","75","71","125","10","3","1","",".262",".363",".460",".823",".354","123","","2.7","","207.4","16376"
"Harrison Bader","STL","140","519","464","115","22","2","20","67","61","41","126","10","11","4","",".248",".321",".433",".754",".322","105","","2.6","","236.0","18030"
"Eloy Jiménez","CHW","141","586","534","147","30","2","30","78","86","43","137","4","1","0","",".276",".333",".504",".837",".354","126","","2.6","","65.7","17484"
"Willson Contreras","CHC","130","525","455","114","20","2","24","69","66","53","141","13","5","2","",".251",".343",".460",".804",".346","115","","2.6","","111.4","11609"
"José Abreu","CHW","149","645","575","153","29","2","30","84","88","50","136","14","2","1","",".266",".337",".480",".817",".348","122","","2.6","","78.5","15676"
"Kolten Wong","MIL","130","552","489","131","26","4","14","72","57","44","89","14","14","4","",".268",".344",".420",".764",".331","105","","2.6","","190.2","12532"
"Brandon Belt","SFG","123","505","430","107","22","3","27","71","72","66","125","5","4","1","",".248",".353",".499",".852",".361","129","","2.6","","226.6","10264"
"Luis Urías","MIL","141","548","479","122","23","2","19","70","65","55","111","9","5","2","",".255",".341",".433",".774",".334","107","","2.6","","170.6","16622"
"Eduardo Escobar","NYM","141","586","528","129","24","3","24","70","78","47","124","4","2","1","",".244",".308",".441",".749",".319","104","","2.6","","199.3","6153"
"Austin Meadows","TBR","138","585","515","130","29","4","27","76","82","58","125","7","7","2","",".252",".332",".482",".814",".345","125","","2.6","","145.5","15672"
"Ke'Bryan Hayes","PIT","140","603","544","142","30","4","14","71","63","50","127","5","11","3","",".261",".327",".409",".736",".319","99","","2.5","","142.0","18577"
"Giancarlo Stanton","NYY","137","581","506","129","21","0","33","80","84","65","158","6","1","0","",".254",".344",".496",".840",".357","128","","2.5","","97.8","4949"
"Mark Canha","NYM","136","574","485","118","24","2","19","76","64","66","124","19","6","2","",".243",".353",".414",".767",".337","116","","2.5","","283.2","11445"
"Trent Grisham","SDP","137","581","505","123","26","4","19","76","64","64","132","6","15","4","",".243",".333",".426",".759",".328","108","","2.5","","144.1","18564"
"Enrique Hernández","BOS","140","582","514","128","30","3","22","74","72","57","111","6","2","1","",".249",".329",".447",".776",".333","107","","2.5","","226.9","10472"
"Whit Merrifield","KCR","148","656","604","172","36","5","12","80","68","41","98","5","26","7","",".284",".332",".417",".749",".323","103","","2.4","","32.4","11281"
"Gleyber Torres","NYY","134","555","493","127","24","1","17","68","61","53","111","4","9","3","",".258",".332",".415",".747",".323","105","","2.4","","155.3","16997"
"DJ LeMahieu","NYY","129","576","514","144","23","2","11","69","57","54","83","3","3","1","",".280",".350",".399",".749",".328","109","","2.4","","118.8","9874"
"Amed Rosario","CLE","138","574","534","149","25","5","12","69","59","32","111","4","12","4","",".279",".322",".414",".736",".317","101","","2.4","","170.6","15518"
"Paul DeJong","STL","119","472","421","99","20","1","21","58","61","38","121","8","4","1","",".234",".307",".437",".744",".319","102","","2.4","","488.2","18015"
"Franmil Reyes","CLE","144","590","525","135","23","1","36","79","94","57","170","4","2","1","",".258",".332",".513",".845",".356","126","","2.3","","121.7","14566"
"Dylan Carlson","STL","150","633","560","144","31","4","20","80","72","59","149","9","5","2","",".257",".334",".433",".767",".330","110","","2.3","","173.3","20126"
"Ramón Laureano","OAK","118","494","437","108","23","2","19","61","56","42","126","10","11","3","",".247",".325",".439",".764",".329","113","","2.3","","245.4","17128"
"Travis d'Arnaud","ATL","103","399","361","90","17","1","14","49","46","31","93","3","1","0","",".249",".311",".414",".726",".313","92","","2.3","","225.3","7739"
"Carson Kelly","ARI","106","401","350","87","17","1","16","47","53","43","84","5","0","0","",".248",".336",".436",".773",".332","105","","2.3","","278.1","13620"
"Sean Murphy","OAK","112","424","374","82","17","1","16","44","47","41","110","6","0","0","",".218",".304",".394",".698",".304","95","","2.3","","252.9","19352"
